iso_code,Country,Continent,Specific Sub-Region,Date Range,total_cases,Cases per Pop,total_deaths,Deaths per Pop,Fatality,stringency_index,population,gdp_per_capita,human_development_index,Social support_2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019,happiness score 2019,Happiness Score 2020,Social support_2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020
NLD,Netherlands,Europe,Western Europe,2019-12-31 - 2020-10-19,228234,0.013319854,6751,0.000393992,0.029579291,43.52705482,17134873,48472.545,0.931,1.522,0.999,0.557,0.322,0.298,7.488,7.4489,1.463646,0.975675,0.613626,0.336318,0.36857
NZL,New Zealand,Oceania,Australia and New Zealand,2019-12-31 - 2020-10-19,1530,0.00031728,25,5.18E-06,0.016339869,38.40058265,4822233,36085.843,0.917,1.557,1.026,0.585,0.33,0.38,7.307,7.2996,1.487218,1.008138,0.64679,0.325726,0.461268
NIC,Nicaragua,North America,Latin America and the Caribbean,2020-03-19 - 2020-10-19,5353,0.000808054,154,2.32E-05,0.028768915,12.62636363,6624554,5321.444,0.658,1.325,0.835,0.435,0.2,0.127,6.105,6.1371,1.270813,0.803093,0.560117,0.212871,0.174085
NER,Niger,Africa,Sub-Saharan Africa,2020-03-21 - 2020-10-19,1210,5.00E-05,69,2.85E-06,0.057024793,30.20643557,24206636,926,0.354,0.774,0.366,0.318,0.188,0.102,4.628,4.9096,0.7038,0.298816,0.435312,0.208177,0.137555
NGA,Nigeria,Africa,Sub-Saharan Africa,2019-12-31 - 2020-10-19,61440,0.00029805,1125,5.46E-06,0.018310547,51.99544314,206139587,5338.454,0.532,1.111,0.245,0.426,0.215,0.041,5.265,4.7241,0.986718,0.167836,0.435079,0.221328,0.04759
PAK,Pakistan,Asia,Southern Asia,2019-12-31 - 2020-10-19,323452,0.001464297,6659,3.01E-05,0.02058729,52.01113974,220892331,5034.708,0.562,0.886,0.535,0.313,0.22,0.098,5.653,5.6933,0.87298,0.469933,0.405422,0.228705,0.122592
PSE,Palestine,Asia,Western Asia,2020-03-06 - 2020-10-19,58539,0.011475049,479,9.39E-05,0.008182579,86.16352633,5101416,4449.898,0.686,1.247,0.672,0.225,0.103,0.066,4.696,4.5528,1.194756,0.613827,0.298701,0.091816,0.071914
PAN,Panama,North America,Latin America and the Caribbean,2020-03-09 - 2020-10-19,124745,0.028911172,2564,0.000594238,0.02055393,59.26,4314768,22267.037,0.789,1.442,0.91,0.516,0.109,0.054,6.321,6.3048,1.376149,0.878547,0.57985,0.097207,0.054231
PRY,Paraguay,South America,Latin America and the Caribbean,2020-03-07 - 2020-10-19,54724,0.007672453,1188,0.000166561,0.021708939,82.25337189,7132530,8827.01,0.702,1.475,0.777,0.514,0.184,0.08,5.743,5.6921,1.368198,0.73587,0.58651,0.204299,0.065077
PER,Peru,South America,Latin America and the Caribbean,2020-02-28 - 2020-10-19,868675,0.026345962,33759,0.001023874,0.038862636,82.41,32971846,12236.706,0.75,1.274,0.854,0.455,0.083,0.027,5.697,5.7968,1.208406,0.824444,0.51321,0.091612,0.027033
PHL,Philippines,Asia,South-eastern Asia,2019-12-31 - 2020-10-19,356618,0.003254376,6652,6.07E-05,0.018653012,63.23821411,109581085,7599.188,0.699,1.293,0.657,0.558,0.117,0.107,5.631,6.006,1.245382,0.602189,0.621915,0.12926,0.130386
POL,Poland,Europe,Eastern Europe,2020-03-04 - 2020-10-19,175766,0.004644168,3573,9.44E-05,0.020328164,52.67736819,37846605,27216.445,0.865,1.438,0.884,0.483,0.117,0.05,6.182,6.1863,1.3104,0.868038,0.557904,0.063374,0.160541
PRT,Portugal,Europe,Southern Europe,2020-03-01 - 2020-10-19,99911,0.009798359,2181,0.000213893,0.021829428,56.94,10196707,27936.896,0.847,1.431,0.999,0.508,0.047,0.025,5.693,5.9109,1.33953,0.979315,0.589895,0.053037,0.027733
QAT,Qatar,Asia,Western Asia,2019-12-31 - 2020-10-19,129431,0.044924785,224,7.77E-05,0.001730652,59.91629117,2881060,116935.6,0.856,1.313,0.871,0.555,0.22,0.167,6.374,6.374,1.313,0.871,0.555,0.22,0.167
ROU,Romania,Europe,Eastern Europe,2019-12-31 - 2020-10-19,180388,0.009376805,5872,0.000305234,0.032552054,44.44,19237682,23313.199,0.811,1.232,0.825,0.462,0.083,0.005,6.07,6.1237,1.194438,0.792295,0.534852,0.068182,0.00083
